audio_id,score_name,pc,mae,aae,pcs,perceptual
schubert-winterreise-audio_22,schubert-winterreise-score_22,0.6376811594202898,0.1980000000000075,0.31428985507246293,0.8929960664335665,0.5380659614786502
schubert-winterreise-audio_46,schubert-winterreise-score_22,0.6956521739130435,0.2259999999999991,0.3185507246376808,0.8806730436786911,0.5075882428191781
schubert-winterreise-audio_70,schubert-winterreise-score_22,0.014492753623188406,1.0679999999999836,1.1839130434782619,0.5724694040947038,0.012543463545146604
schubert-winterreise-audio_94,schubert-winterreise-score_22,0.0,2.6979999999999933,3.2898260869565226,0.19691231455795433,0.0061620008559984596
schubert-winterreise-audio_118,schubert-winterreise-score_22,0.6376811594202898,0.24200000000000443,0.4266086956521738,0.8269189907038512,0.46918496371275814
schubert-winterreise-audio_142,schubert-winterreise-score_22,0.057971014492753624,2.8499999999999943,2.590521739130435,0.27755699910839365,0.06365662115202139
schubert-winterreise-audio_166,schubert-winterreise-score_22,0.6086956521739131,0.25,0.3394782608695642,0.8825995807127884,0.47293842524682816
schubert-winterreise-audio_190,schubert-winterreise-score_22,0.6376811594202898,0.25,0.32379710144927515,0.873203225429473,0.4846906408376429
schubert-winterreise-audio_214,schubert-winterreise-score_22,0.4782608695652174,0.31799999999999784,0.4117681159420298,0.86227761688043,0.40706684413164995
schubert-winterreise-audio_13,schubert-winterreise-score_13,0.6538461538461539,0.15400000000000702,0.3928846153846155,0.9220868152274838,0.5750446268362713
schubert-winterreise-audio_37,schubert-winterreise-score_13,0.8076923076923077,0.1699999999999946,0.22957692307692332,0.928105205177637,0.6251148993331058
schubert-winterreise-audio_61,schubert-winterreise-score_13,0.057692307692307696,0.9139999999999979,1.1319230769230768,0.7303272650741871,0.07363167298272254
schubert-winterreise-audio_85,schubert-winterreise-score_13,0.07692307692307693,0.6730000000000018,1.0102692307692311,0.7340037162531423,0.09005500458543489
schubert-winterreise-audio_109,schubert-winterreise-score_13,0.4423076923076923,0.3689999999999998,0.7232692307692327,0.8183711244794072,0.3222684190996089
schubert-winterreise-audio_133,schubert-winterreise-score_13,0.0,5.574999999999996,6.3373461538461555,0.10841600348849884,5.6300978507815695e-05
schubert-winterreise-audio_157,schubert-winterreise-score_13,0.6346153846153846,0.232999999999997,0.46846153846154004,0.8809523809523805,0.48122324442571124
schubert-winterreise-audio_181,schubert-winterreise-score_13,0.3269230769230769,0.4170000000000007,0.7895384615384612,0.7854475209272376,0.29296298170580454
